"Reference ID","Product Name","Sale  Price","POS Category"
"00031200370075","OS CRAN·STRW 64z",4.89,"Groceries"
"00031500001273","B&G SPEARS 24oz",3.59,"Groceries"
"00031500003048","B&G WHOLE 32oz",3.69,"Groceries"
"00031500003147","B&G SPEARS 16oz",2.99,"Groceries"
"00031500003383","B&G CHIPS 16oz",2.99,"Groceries"
"00033200011101","BAKING SODA 1lb",1.09,"Groceries"
"00033200011309","BAKING SODA 8z",0.69,"Groceries"
"00033844001018","BADIA SSNING 12z",3.49,"Groceries"
"00035568002906","PICO LIMóN 4oz",3.09,"Groceries"
"00036200002506","RGU TRDITINLS 1b",3.39,"Groceries"
"00036200003008","RGU FLAV MEAT 1b",3.99,"Groceries"
"00036200003503","RAGU MUSHROOM 1b",3.39,"Groceries"
"00036200004463","RGU SUPER VEG 1b",3.39,"Groceries"
"00036200013694","RAGU CHESY 16z",3.39,"Groceries"
"00036200013755","RGU SIX CHEES 1b",3.99,"Groceries"
"00036426300332","MIRA MNGO 3/6.7z",1.79,"Groceries"
"00036426300349","MIRA MANGO 1L",2.29,"Groceries"
"00036426300356","MIRA PEAR 1L",1.99,"Groceries"
"00036426300363","MIRA FRUIT CK 1L",2.29,"Groceries"
"00036426300431","MIRA GUAVA 1L",2.29,"Groceries"
"00036426300448","MIRA PNEAPPLE 1L",1.99,"Groceries"
"00036426300479","MIRA FRT 3/200ml",1.79,"Groceries"
"00036426500381","MIRA STW BANA 1L",2.29,"Groceries"
"00036426500473","MIRA S B 3/200ml",1.79,"Groceries"
"00037297122207","MASECA 2.2lb",2.29,"Groceries"
"00037297914475","MASECA 4.4lb",3.99,"Groceries"
"00037297944472","MASECA TAML 4.4b",4.49,"Groceries"
"00037600138727","SPAM CLASSIC 12z",4.19,"Groceries"
"00037600175340","SPAM LITE 12oz",4.19,"Groceries"
"00038000016110","SPCIAL K ORG 12z",5.59,"Groceries"
"00038000318467","KL KRISPIES 12z",5.49,"Groceries"
"00038000391118","KL CORN POPS 17z",5.99,"Groceries"
"00038000391187","FROOTS LOOPS 12z",5.49,"Groceries"
"00038000391255","FROOT LOOPS 8.7z",4.89,"Groceries"
"00038000391347","KL APP JACKS 12z",5.49,"Groceries"
"00038000576003","SPK VAN/ALMD 12z",5.59,"Groceries"
"00038000596445"," FRSTD FLKES 10½",5.49,"Groceries"
"00038000596551","FRASTD FLAKS 15z",5.69,"Groceries"
"00038000599217","SPK RED BRRS 14¾",6.69,"Groceries"
"00038000717130","KF FLAKS CHC 14¾",5.89,"Groceries"
"00038000787119","KL SPECIAL K 12½",5.59,"Groceries"
"00038000844874","PG REDC/FAT 151g",2.49,"Groceries"
"00038000844881","PG SR RED/F 160g",2.49,"Groceries"
"00038000844966","PG ORIGINAL 161g",2.29,"Groceries"
"00038000845093","PG LIG/SLTD 161g",2.49,"Groceries"
"00038000845246","PG ORIGINAL 67g",1.29,"Groceries"
"00038000845277","PRINGLS BBQ 71g",1.29,"Groceries"
"00038000845512","PG ORIGINAL 37g",0.89,"Groceries"
"00038000845529","PG SOUR/CREM 40g",0.89,"Groceries"
"00038000845536","PG CHEDDAR/C 40g",0.89,"Groceries"
"00038000845543","PRINGLS PIZZ 40g",0.89,"Groceries"
"00038000845758","PG ORIGINAL 152g",3.79,"Groceries"
"00038000845765","PG SOUR/CRM 168g",3.79,"Groceries"
"00038225000031","MAZAMORRA 14oz",1.99,"Groceries"
"00038225000116","NATLLA/PANLA 12z",1.79,"Groceries"
"00038527109005","FA VAINILLA 11.1",3.29,"Groceries"
