"Interal Reference","Description","Retail","POS Category"
"04133102622","JASMINE RICE",2.89,"Grocery"
"04133102623","GOLDEN CANILLA GAYLORD",10.99,"Grocery"
"04133102626","GOLDEN CANILLA PARBOILED 1 LB",1.19,"Grocery"
"04133102627","GOLDEN CANILLA PARBOILED 100LB",59.69,"Grocery"
"04133102628","GOLDEN CANILLA PARBOILED 3 LB",2.89,"Grocery"
"04133102629","GOLDEN CANILLA PARBOILED 5 LB",4.69,"Grocery"
"04133102630","GOLDEN CANILLA PARBOILED 10 LB",6.99,"Grocery"
"04133102631","GOLDEN CANILLA PARBOILED 20 LB",10.99,"Grocery"
"04133102632","CANILLA LONG GRAIN RICE 1 LB",1.69,"Grocery"
"04133102633","CANILLA LONG GRAIN RICE 3 LB",2.89,"Grocery"
"04133102634","CANILLA LONG GRAIN RICE 2LB",1.99,"Grocery"
"04133102635","CANILLA LONG GRAIN RICE 5 LB",4.59,"Grocery"
"04133102637","CANILLA LONG GRAIN RICE 10 LB",6.79,"Grocery"
"04133102638","CANILLA LG RICE 20 LB POLY BAG",11.99,"Grocery"
"04133102639","CANILLA LONG GRAIN RICE 20 LB",11.99,"Grocery"
"04133102640","CANILLA LONG GRAIN RICE 50 LB",30.69,"Grocery"
"04133102641","K-NILLA LONG GRAIN RICE 100 LB",59.69,"Grocery"
"04133102642","CANILLA GAYLORD   20 LB",11.99,"Grocery"
"04133102643","GOYA INSTANT YELLOW RICE 6 OZ.",1.99,"Grocery"
"04133102644","GOYA INSTANT MEXICAN RICE 6 OZ",2.29,"Grocery"
"04133102645","GOYA INSTANT BROWN RICE 6 OZ.",2.29,"Grocery"
"04133102646","CANILLA RICE 35 LB",.01,"Grocery"
"04133102648","GOYA RICE W/GREEN PEPPER&CORN",1.79,"Grocery"
"04133102649","GOYA COCONUT RICE 8 OZ.",1.79,"Grocery"
"04133102651","GOYA JASMIN BOX RICE 12 OZ",2.59,"Grocery"
"04133102652","GOYA BASMATI BOX RICE 12 OZ",2.59,"Grocery"
"04133102653","GOYA VALENCIA BOX RICE 12 OZ",2.59,"Grocery"
"04133102654","GOYA ARBORIO BOX RICE 12 OZ",2.59,"Grocery"
"04133102655","RICE AND PINTO BEANS SW 8 OZ",1.79,"Grocery"
"04133102656","HOPPIN'JOHN-RICE/BLACKEYE PEAS",1.79,"Grocery"
"04133102657","CHICKEN FLAVORED RICE 8 OZ",1.79,"Grocery"
"04133102658","LOW SODIUM YELLOW RICE SHIPPER",1.89,"Grocery"
"04133102659","FIESTA RICE 8 OZ",1.79,"Grocery"
"04133102660","PAELLA DINNER KIT 19 OZ",5.19,"Grocery"
"04133102661","ARROZ CON GANDULES 8 OZ",1.79,"Grocery"
"04133102662","YELLOW RICE MIX 8 OZ",1.79,"Grocery"
"04133102663","MEXICAN RICE MIX 8 OZ",1.79,"Grocery"
"04133102664","RICE PRIMAVERA 8 OZ",1.79,"Grocery"
"04133102665","RICE AND BLACK BEANS 8 OZ",1.79,"Grocery"
"04133102666","RICE AND RED BEANS 8 OZ",1.79,"Grocery"
"04133102667","BROCOLLI & CHEESE 8 OZ",1.79,"Grocery"
