"Internal Reference","DESCRIPTION","PRICE","POS Category"
2529360040,"SILK ORIG CREAMER",17.15,"Dairy"
2529360043,"SILK FR VAN CREAMER",17.15,"Dairy"
9396600200,"ORGANIC VALLY SOY ORIG",18.06,"Dairy"
9396600201,"ORGANIC VALLY SOY VAN",18.06,"Dairy"
2529300092,"SILK SOY ORGNIC PLAIN",19.14,"Dairy"
2529300093,"SILK SOY ORGNIC VAN",19.14,"Dairy"
4157005617,"ALMOND BREZE ORIG",17.54,"Dairy"
4157005621,"ALMOND BREZE VAN",17.54,"Dairy"
4157005618,"ALMOND BREZE UNSWT VAN",17.54,"Dairy"
4157005670,"ALMOND BREZE UNSWET ORIG",17.54,"Dairy"
4157005625,"ALMOND BREZE CHOC ",17.54,"Dairy"
4157010963,"ALMND BREZE REDU SUGR ORIG",17.54,"Dairy"
4157010964,"ALMND BREZE REDU SUGR VAN",17.54,"Dairy"
4157009914,"ALMOND BREZE COCNUT BLND",17.54,"Dairy"
4157009915,"ALMOND BREZE COCNUT UNSWET",17.54,"Dairy"
4157005770,"ALMOND BREEZE ORIG 96oz",19.65,"Dairy"
4157005772,"ALMOND BREEZE VAN 96oz",19.65,"Dairy"
5290900329,"CALIFIA ALMOND ORIG",19.49,"Dairy"
5290900328,"CALIFIA ALMOND VAN",19.49,"Dairy"
5290900330,"CALIFIA ALMOND UNSWET",19.49,"Dairy"
5290900342,"CALIFIA COCUNT ALMOND BLND",19.49,"Dairy"
5290900369,"CALIFIA ALMOND UNSWET VAN",19.49,"Dairy"
2529300098,"SILK ALMOND MILK ORIG ",18.18,"Dairy"
2529300099,"SILK ALMOND MILK VAN",18.18,"Dairy"
2529300119,"SILK ALMOND DARK CHOC",18.18,"Dairy"
2529300149,"SILK ALMOND UNSWETEND",18.18,"Dairy"
2529300136,"SILK ALMOND UNSWETEND VAN",18.18,"Dairy"
2529300274,"SILK CASHEW ORIG ",18.18,"Dairy"
2529300275,"SILK CASHEW UNSWET ",18.18,"Dairy"
2529300216,"SILK LIGHT ALMOND ORIG",18.18,"Dairy"
2529300217,"SILK LIGHT ALMOND VAN",18.18,"Dairy"
2529300241,"SILK BLENDS ORIG",18.18,"Dairy"
2529300242,"SILK BLENDS UNSWET",18.18,"Dairy"
2529300122,"SILK COCONUT ORIG",19.14,"Dairy"
2529300123,"SILK COCONUT VAN ",19.14,"Dairy"
3573227751,"AMISH ORGANIC WHOLE MILK",20.38,"Dairy"
