"Internal Reff","Name","Price","POS Category"
1113247912,"ALPO PRIME SLICED LAMB                       ",1.79,"Grocery"
1113252147,"ALPO PRIME CUT SLICED BEEF                   ",1.29,"Grocery"
1113289632,"ALPO PRIME CUT SLICED CHICKEN                ",1.29,"Grocery"
1114010389,"HUNGRY JACK INSTANT HASH BROWNS              ",1.99,"Grocery"
1114010476,"HUNGRY JACK INSTANT CHEESY HASH BROWNS       ",1.99,"Grocery"
1114042380,"HUNGRY JACK POTATO PANCAKE MIX               ",1.99,"Grocery"
1114042500,"IDAHO SPUDS MASHED POTATOES                  ",2.25,"Grocery"
1114079800,"HUNGRY JACK INSTANT MASHED POTATOES          ",4.49,"Grocery"
1114087102,"HUNGRY JACK INSTANT MASHED POTATOES          ",3.09,"Grocery"
1114087206,"HUNGRY JACK INSTANT MASHED POTATOES          ",1.59,"Grocery"
1114110029,"EIGHT O'CLOCK ORIGINAL GRIND         BAG     ",7.89,"Grocery"
1114110271,"EIGHT O'CLOCK COLOMBIAN GRIND        BAG     ",7.89,"Grocery"
1114110291,"EIGHT O'CLOCK HAZELNUT GRIND         BAG     ",7.89,"Grocery"
1115605104,"TETLEY TEA BAGS 48'S                         ",3.39,"Grocery"
1115605108,"TETLEY TEA BAGS                              ",4.69,"Grocery"
1115605142,"TETLEY DECAF TEA BAGS                        ",4.69,"Grocery"
1115605178,"TETLEY GREEN TEA BAGS                        ",4.69,"Grocery"
1115605180,"TETLEY GREEN TEA DECAF BAGS                  ",4.69,"Grocery"
1115605450,"TETLEY BRITISH BLEND TEA BAGS                ",4.69,"Grocery"
1115605908,"TETLEY ICE TEA LEMON         3.99            ",3.99,"Grocery"
1115605909,"TETLEY ICE TEA LEMON         5.99            ",5.99,"Grocery"
1115605910,"TETLEY ICE TEA LEMON         6.99            ",6.99,"Grocery"
1121000001,"MC ILHENNY TABASCO SAUCE                     ",1.99,"Grocery"
1121000003,"MC ILHENNY TABASCO SAUCE                     ",7.69,"Grocery"
1121000015,"MC ILHENNY TABASCO SAUCE                     ",4.19,"Grocery"
1121000250,"MC ILHENNY TABASCO BUFFALO HOT SCE           ",4.19,"Grocery"
1121000609,"MC ILHENNY HABANERO SAUCE                    ",2.79,"Grocery"
1121000705,"MC ILHENNY TABASCO GARLIC PEPPER SCE         ",4.19,"Grocery"
1121000770,"MC ILHENNY CHIPOTLE PEPPR TABASCO SCE        ",4.19,"Grocery"
1121000971,"TABASCO GREEN PEPPER SAUCE                   ",1.99,"Grocery"
1122800006,"CELLAS CHOCOLATE COVERED CHERRIES            ",2.49,"Grocery"
1130016070,"BRACH'S CANDY CORN                           ",2.29,"Grocery"
1150900206,"SEA-BOND DENTURE LOWERS                      ",7.59,"Grocery"
1150904904,"JUST FOR MEN BEARD DARK BROWN                ",10.89,"Grocery"
1150904933,"JUST FOR MEN SHAMPOO-IN MEDIUM BROWN         ",9.69,"Grocery"
1150904934,"JUST FOR MEN SHAMPOO-IN DARK BROWN           ",9.69,"Grocery"
1150904935,"JUST FOR MEN SHAMPOO-IN REAL BLACK           ",9.69,"Grocery"
1150931100,"BRYLCREEM HAIR GROOM ORIGINAL                ",6.69,"Grocery"
1153502556,"WILD HARVEST ORGANIC JUICE APPLE             ",5.29,"Grocery"
1153510303,"WILD HARVEST ORGANIC RICE MILK               ",3.19,"Grocery"
1153510304,"WILD HARVEST ORGANIC RICE MILK VANILLA       ",3.19,"Grocery"
1153510306,"WILD HARVEST ORGANIC SOY MILK                ",3.19,"Grocery"
1153510307,"WILD HARVEST ORGANIC SOY MILK VANILLA        ",3.19,"Grocery"
1153550036,"WILD HARVEST ORGANIC JUICE GRAPE             ",6.29,"Grocery"
1153550040,"WILD HARVEST ORGANIC JUICE CRANBERRY         ",7.39,"Grocery"
1153550042,"WILD HARVEST ORGANIC JUICE LEMONADE          ",3.69,"Grocery"
1153550044,"WILD HARVEST COOKIES ORGANIC CHOC CREAM      ",5.09,"Grocery"
